name,price,year,mileage,engine,date_listed,day_listed,month_listed,year_listed,days_since_listed,link
 ,£11233,2015,76295,2.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955958?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£11995,2018,115000,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955957?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£26990,2017,58000,3.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955953?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4990,2006,48656,3.2,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955948?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£79990,2004,28000,3.6,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955936?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£3230,2015,88608,1.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955935?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£4895,2014,104172,1.8,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955931?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6795,2016,83462,2.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955930?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£6400,2014,158000,,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955929?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£15990,2021,19482,1.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955914?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£9750,2015,74260,2.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955911?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£15950,2015,75000,3.5,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955910?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£5000,2020,29000,1.0,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955903?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
 ,£16990,2014,96000,4.4,29/05/2025,29,5,2025,1,https://www.autotrader.co.uk/car-details/202505292955874?sort=most-recent&searchId=3090e99f-62e0-4cc1-b3de-9e237aef0765&advertising-location=at_cars&make=&model=&page=18&postcode=BB7%203BB&fromsra
